Source	Date	Sample	Biden	Trump	Other
Axios / SurveyMonkey	10/17/2020	4,077 LV	69%	29%	2%
Axios / SurveyMonkey	10/01/2020	2,655 LV	66%	32%	2%
Emerson College	8/28/2020	763 LV ±3.5%	68%	30%	2%
UMass Amherst/WCVB	8/14/2020	500 RV ±5.9%	61%	28%	11%
WBUR	8/12/2020	501 LV ±4.4%	63%	27%	10%
MassINC	7/28/2020	797 RV	55%	23%	22%
Emerson College	5/07/2020	740 RV ±3.5%	60%	30%	10%
UMass Lowell	5/07/2020	1,000 RV ±3.6%	58%	30%	12%
